Time	E/V
0.000000000	0.000000000
0.001500375	0.000094232
0.003000750	0.000188380
0.004501125	0.000282435
0.006001500	0.000376390
0.007501875	0.000470235
0.009002251	0.000563963
0.010502626	0.000657565
0.012003001	0.000751034
0.013503376	0.000844361
0.015003751	0.000937537
0.016504126	0.001030555
0.018004501	0.001123406
0.019504876	0.001216083
0.021005251	0.001308577
0.022505626	0.001400880
0.024006002	0.001492984
0.025506377	0.001584881
0.027006752	0.001676563
0.028507127	0.001768022
0.030007502	0.001859250
0.031507877	0.001950240
0.033008252	0.002040982
0.034508627	0.002131470
0.036009002	0.002221695
0.037509377	0.002311650
0.039009752	0.002401327
0.040510128	0.002490719
0.042010503	0.002579816
0.043510878	0.002668612
0.045011253	0.002757100
0.046511628	0.002845270
0.048012003	0.002933117
0.049512378	0.003020632
0.051012753	0.003107807
0.052513128	0.003194636
0.054013503	0.003281111
0.055513878	0.003367224
0.057014254	0.003452968
0.058514629	0.003538336
0.060015004	0.003623320
0.061515379	0.003707914
0.063015754	0.003792109
0.064516129	0.003875899
0.066016504	0.003959277
0.067516879	0.004042235
0.069017254	0.004124767
0.070517629	0.004206866
0.072018005	0.004288524
0.073518380	0.004369734
0.075018755	0.004450491
0.076519130	0.004530786
0.078019505	0.004610613
0.079519880	0.004689966
0.081020255	0.004768838
0.082520630	0.004847222
0.084021005	0.004925111
0.085521380	0.005002499
0.087021755	0.005079380
0.088522131	0.005155747
0.090022506	0.005231594
0.091522881	0.005306914
0.093023256	0.005381701
0.094523631	0.005455949
0.096024006	0.005529652
0.097524381	0.005602803
0.099024756	0.005675397
0.100525131	0.005747427
0.102025506	0.005818888
0.103525881	0.005889774
0.105026257	0.005960078
0.106526632	0.006029795
0.108027007	0.006098920
0.109527382	0.006167446
0.111027757	0.006235368
0.112528132	0.006302681
0.114028507	0.006369378
0.115528882	0.006435455
0.117029257	0.006500907
0.118529632	0.006565726
0.120030008	0.006629910
0.121530383	0.006693452
0.123030758	0.006756347
0.124531133	0.006818590
0.126031508	0.006880176
0.127531883	0.006941100
0.129032258	0.007001357
0.130532633	0.007060943
0.132033008	0.007119853
0.133533383	0.007178081
0.135033758	0.007235624
0.136534134	0.007292477
0.138034509	0.007348635
0.139534884	0.007404094
0.141035259	0.007458849
0.142535634	0.007512896
0.144036009	0.007566231
0.145536384	0.007618850
0.147036759	0.007670749
0.148537134	0.007721923
0.150037509	0.007772368
0.151537884	0.007822082
0.153038260	0.007871059
0.154538635	0.007919296
0.156039010	0.007966790
0.157539385	0.008013536
0.159039760	0.008059532
0.160540135	0.008104774
0.162040510	0.008149257
0.163540885	0.008192980
0.165041260	0.008235938
0.166541635	0.008278129
0.168042011	0.008319549
0.169542386	0.008360196
0.171042761	0.008400066
0.172543136	0.008439156
0.174043511	0.008477463
0.175543886	0.008514985
0.177044261	0.008551720
0.178544636	0.008587663
0.180045011	0.008622814
0.181545386	0.008657169
0.183045761	0.008690725
0.184546137	0.008723481
0.186046512	0.008755435
0.187546887	0.008786584
0.189047262	0.008816925
0.190547637	0.008846458
0.192048012	0.008875179
0.193548387	0.008903087
0.195048762	0.008930181
0.196549137	0.008956458
0.198049512	0.008981917
0.199549887	0.009006556
0.201050263	0.009030374
0.202550638	0.009053369
0.204051013	0.009075539
0.205551388	0.009096884
0.207051763	0.009117403
0.208552138	0.009137093
0.210052513	0.009155954
0.211552888	0.009173986
0.213053263	0.009191186
0.214553638	0.009207555
0.216054014	0.009223090
0.217554389	0.009237793
0.219054764	0.009251662
0.220555139	0.009264696
0.222055514	0.009276895
0.223555889	0.009288259
0.225056264	0.009298787
0.226556639	0.009308479
0.228057014	0.009317334
0.229557389	0.009325354
0.231057764	0.009332537
0.232558140	0.009338883
0.234058515	0.009344394
0.235558890	0.009349068
0.237059265	0.009352907
0.238559640	0.009355910
0.240060015	0.009358078
0.241560390	0.009359411
0.243060765	0.009359911
0.244561140	0.009359577
0.246061515	0.009358410
0.247561890	0.009356412
0.249062266	0.009353582
0.250562641	0.009349922
0.252063016	0.009345433
0.253563391	0.009340116
0.255063766	0.009333972
0.256564141	0.009327002
0.258064516	0.009319208
0.259564891	0.009310591
0.261065266	0.009301152
0.262565641	0.009290892
0.264066017	0.009279815
0.265566392	0.009267920
0.267066767	0.009255210
0.268567142	0.009241686
0.270067517	0.009227351
0.271567892	0.009212207
0.273068267	0.009196254
0.274568642	0.009179496
0.276069017	0.009161935
0.277569392	0.009143572
0.279069767	0.009124410
0.280570143	0.009104452
0.282070518	0.009083700
0.283570893	0.009062155
0.285071268	0.009039822
0.286571643	0.009016702
0.288072018	0.008992798
0.289572393	0.008968114
0.291072768	0.008942650
0.292573143	0.008916412
0.294073518	0.008889401
0.295573893	0.008861621
0.297074269	0.008833074
0.298574644	0.008803764
0.300075019	0.008773695
0.301575394	0.008742868
0.303075769	0.008711289
0.304576144	0.008678959
0.306076519	0.008645884
0.307576894	0.008612065
0.309077269	0.008577507
0.310577644	0.008542214
0.312078020	0.008506188
0.313578395	0.008469435
0.315078770	0.008431957
0.316579145	0.008393760
0.318079520	0.008354846
0.319579895	0.008315219
0.321080270	0.008274885
0.322580645	0.008233846
0.324081020	0.008192108
0.325581395	0.008149675
0.327081770	0.008106550
0.328582146	0.008062738
0.330082521	0.008018244
0.331582896	0.007973073
